cm/s2; dt=0.020
6.58	38.325
6.6	10.434
6.62	3.247
6.64	-17.146
6.66	-36.833
6.68	-32.629
6.7	-14.937
6.72	-7.241
6.74	-44.997
6.76	-72.317
6.78	-83.084
6.8	-82.507
6.82	-73.159
6.84	-81.915
6.86	-82.932
6.88	-53.26
6.9	1.845
6.92	20.976
6.94	29.775
6.96	44.34
6.98	39.243
7	19.44
7.02	8.138
7.04	15.5
7.06	-6.89
7.08	-37.482
7.1	-42.863
7.12	-23.972
7.14	31.492
7.16	60.516
7.18	48.005
7.2	36.938
7.22	32.439
7.24	45.725
7.26	22.412
7.28	-42.514
7.3	-57.928
7.32	-47.304
7.34	-32.188
7.36	-0.071
7.38	40.157
7.4	87.684
7.42	110.434
7.44	107.959
7.46	84.659
7.48	58.694
7.5	14.968
7.52	-45.23
7.54	-73.213
7.56	-79.384
7.58	-53.136
7.6	-17.301
7.62	-8.651
7.64	20.201
7.66	76.323
7.68	102.827
7.7	109.682
7.72	78.978
7.74	32.87
7.76	23.095
7.78	28.251
7.8	24.795
7.82	1.61
7.84	-8.2
7.86	-8.76
7.88	-24.39
7.9	-40.65
7.92	-56.612
7.94	-67.864
7.96	-57.009
7.98	-44.313
8	-53.545
8.02	-45.102
8.04	-12.725
8.06	-3.08
8.08	0.506
8.1	22.932
8.12	46.688
8.14	39.691
8.16	7.262
8.18	-20.817
8.2	-46.621
8.22	-75.567
8.24	-96.951
8.26	-108.813
8.28	-109.052
8.3	-106.593
8.32	-98.341
8.34	-69.609
8.36	-24.824
8.38	0.533
8.4	-4.562
8.42	-5.765
8.44	-3.323
8.46	29.929
8.48	72.001
8.5	78.49
8.52	74.281
8.54	81.427
8.56	88.672
8.58	84.058
8.6	80.785
8.62	79.246
8.64	80.935
8.66	71.894
8.68	44.887
8.7	12.545
8.72	-2.311
8.74	-2.464
8.76	4.37
8.78	17.469
8.8	18.66
8.82	0.66
8.84	-24.061
8.86	-31.351
8.88	-21.326
8.9	-18.838
8.92	-23.712
8.94	-34.777
8.96	-44.952
8.98	-48.434
9	-45.655
9.02	-27.04
9.04	-8.548
9.06	-9.927
9.08	-11.468
9.1	7.8
9.12	38.158
9.14	66.465
9.16	83.296
9.18	80.565
9.2	66.412
9.22	53.308
9.24	37.798
9.26	25.279
9.28	15.341
9.3	4.153
9.32	-21.445
9.34	-56.236
9.36	-81.858
9.38	-95.871
9.4	-90.664
9.42	-70.398
9.44	-51.856
9.46	-49.609
9.48	-51.927
9.5	-51.54
9.52	-44.691
9.54	-42.007
9.56	-41.252
9.58	-24.714
9.6	-1.587
9.62	6.55
9.64	11.587
9.66	27.875
9.68	36.022
9.7	38.524
9.72	38.977
9.74	33.048
9.76	22.732
9.78	14.719
9.8	10.651
9.82	6.509
9.84	3.86
9.86	2.385
9.88	-0.915
9.9	-4.205
9.92	2.451
9.94	12.086
9.96	14.332
9.98	20.249
10	31.596
10.02	39.283
10.04	39.511
10.06	42.15
10.08	45.64
10.1	36.614
10.12	14.559
10.14	-14.65
10.16	-43.126
10.18	-67.201
10.2	-84.731
10.22	-90.545
10.24	-86.621
10.26	-75.702
10.28	-64.286
10.3	-57.291
10.32	-45.057
10.34	-24.142
10.36	-6.04
10.38	-1.798
10.4	4.761
10.42	22.013
10.44	29.104
10.46	18.063
10.48	3.572
10.5	-1.461
10.52	7.554
10.54	21.533
10.56	28.062
10.58	17.795
10.6	-2.497
10.62	-12.226
10.64	-7.666
10.66	1.128
10.68	15.413
